,Country,Average_happiness_score
0,Albania,5.0389399932000005
1,Algeria,5.1108199546
2,Argentina,5.9961399948
3,Armenia,5.0519599548
4,Australia,7.1781599556
5,Austria,7.2136399888
6,Azerbaijan,5.179200041750001
7,Bahrain,6.3786600334
8,Bangladesh,4.7501599822000005
9,Belarus,5.5544749565
10,Belgium,6.8569000236
11,Benin,4.828200015999999
12,Bhutan,5.082
13,Bolivia,5.7052999886
14,Bosnia and Herzegovina,5.6548199843999996
15,Botswana,3.4679799912
16,Brazil,6.2847199722
17,Bulgaria,5.2785
18,Burkina Faso,4.6995400246
19,Burundi,3.775
20,Cambodia,4.6822800232
21,Cameroon,5.0583799804
22,Canada,7.119820002
23,Chad,4.355174982
24,Chile,6.270099977799999
25,China,5.4113799874
26,Colombia,5.9422800346
27,Comoros,4.1409199936
28,Congo,5.1380799668
29,Costa Rica,6.9096799758000005
30,Croatia,5.687233394666666
31,Cyprus,6.155799984
32,Czech Republic,6.8985800232
33,Democratic Republic of the Congo,3.9786666233333334
34,Denmark,7.617519968400001
35,Dominican Republic,5.5930399848
36,Ecuador,5.7618399972
37,Egypt,4.211680017800001
38,El Salvador,6.180859996000001
39,Estonia,6.1799600082
40,Ethiopia,4.2158400284
41,Finland,7.808940017
42,France,6.6587599526000005
43,Gabon,4.8946599854
44,Gambia,4.7521199722
45,Georgia,4.694199930666667
46,Germany,7.0283599884
47,Ghana,4.9417999526
48,Greece,5.939500000000001
49,Guatemala,6.336380006400001
50,Guinea,4.8860599624
51,Haiti,3.644266641
52,Honduras,5.9554399726
53,Hong Kong,5.4300799636
54,Hungary,5.9754800132
55,Iceland,7.527899982399999
56,India,3.8440599769999997
57,Indonesia,5.2679200370000006
58,Iran,4.7410799996
59,Iraq,4.7915600106
60,Ireland,7.0303399864
61,Israel,7.2523200242
62,Italy,6.39308003
63,Ivory Coast,5.1542600418
64,Jamaica,5.9283600144
65,Japan,5.9729600036
66,Jordan,4.4412799926
67,Kazakhstan,6.0793799904
68,Kenya,4.5458000366
69,Kosovo,6.3240400162
70,Kuwait,6.08377497375
71,Kyrgyzstan,5.6399000184000005
72,Laos,4.993119974600001
73,Latvia,6.0629999618
74,Lebanon,3.9799000222
75,Lesotho,3.6556000276666665
76,Liberia,4.464379990399999
77,Libya,5.43845001225
78,Lithuania,6.3656999756
79,Luxembourg,7.2567000382
80,Macedonia,5.1975600106
81,Madagascar,4.1329199646
82,Malawi,3.5586000214
83,Malaysia,5.5660600464
84,Maldives,5.197799944
85,Mali,4.5038600044
86,Malta,6.5695599938
87,Mauritania,4.3937199868
88,Mauritius,6.0022599526
89,Mexico,6.3670000306
90,Moldova,5.762375019
91,Mongolia,5.6038400246
92,Montenegro,5.583820028
93,Morocco,5.036759999
94,Mozambique,4.7329000015
95,Myanmar,4.3720000176
96,Namibia,4.574820047
97,Nepal,5.2112399758
98,Netherlands,7.4437800445999995
99,New Zealand,7.241320024800001
100,Nicaragua,6.127620044
101,Niger,4.8231199562
102,Nigeria,4.8562200226000005
103,North Cyprus,5.5641250125
104,Norway,7.422799983199999
105,Pakistan,5.070259954
106,Palestinian Territories,4.6313600358
107,Panama,6.2759600068
108,Paraguay,5.6808200096
109,Peru,5.6837600274
110,Philippines,5.7888000084
111,Poland,6.1834599601999995
112,Portugal,5.9033800231999995
113,Qatar,6.374
114,Republic of Serbia,5.95624003
115,Romania,6.2026750355
116,Russia,5.558200000799999
117,Rwanda,3.33232499175
118,Saudi Arabia,6.4522999726
119,Senegal,4.9389600304
120,Sierra Leone,3.7722799892
121,Singapore,6.4166199982
122,Slovakia,6.3339200142
123,Slovenia,6.4444799964
124,South Africa,4.992219957800001
125,South Korea,5.8996799613999995
126,South Sudan,2.8348000420000004
127,Spain,6.4315799774
128,Sri Lanka,4.3644000282
129,Swaziland,4.337366741333334
130,Sweden,7.367699977799999
131,Switzerland,7.472579961399999
132,Syria,3.462
133,Taiwan,6.5064799980000005
134,Tajikistan,5.439139965
135,Thailand,5.9451599602
136,Togo,4.1256400138
137,Trinidad and Tobago,6.191949888
138,Tunisia,4.4924399986
139,Turkey,4.962160035
140,Turkmenistan,5.2265250235
141,Uganda,4.458400032
142,Ukraine,4.784539988000001
143,United Arab Emirates,6.664760018999999
144,United Kingdom,7.004300047399999
145,United Republic of Tanzania,3.5452400208
146,United States of America,6.9307199982
147,Uruguay,6.4264200386
148,Uzbekistan,6.1375199662
149,Venezuela,4.884066589333333
150,Vietnam,5.4374999778
151,Yemen,3.6906000042500002
152,Zambia,3.9362799782000004
153,Zimbabwe,3.2612400116000004
