,Country,Region,Year,Happiness_score,GDP_capita,Social_support,Life_expectancy,Freedom,Generosity,Corruption_perception
0,Finland,Western Europe,2021,7.842,1.446,1.106,0.741,0.691,0.124,0.481
1,Denmark,Western Europe,2021,7.62,1.502,1.108,0.763,0.686,0.208,0.485
2,Switzerland,Western Europe,2021,7.571,1.566,1.079,0.816,0.653,0.204,0.413
3,Iceland,Western Europe,2021,7.554,1.482,1.172,0.772,0.698,0.293,0.17
4,Netherlands,Western Europe,2021,7.464,1.501,1.079,0.753,0.647,0.302,0.384
5,Norway,Western Europe,2021,7.392,1.543,1.108,0.782,0.703,0.249,0.427
6,Sweden,Western Europe,2021,7.363,1.478,1.062,0.763,0.685,0.244,0.448
7,Luxembourg,Western Europe,2021,7.324,1.751,1.003,0.76,0.639,0.166,0.353
8,New Zealand,North America and ANZ,2021,7.277,1.4,1.094,0.785,0.665,0.276,0.445
9,Austria,Western Europe,2021,7.268,1.492,1.062,0.782,0.64,0.215,0.292
10,Australia,North America and ANZ,2021,7.183,1.453,1.076,0.801,0.647,0.291,0.317
11,Israel,Middle East and North Africa,2021,7.157,1.376,1.074,0.788,0.509,0.208,0.119
12,Germany,Western Europe,2021,7.155,1.48,0.993,0.757,0.6,0.195,0.306
13,Canada,North America and ANZ,2021,7.103,1.447,1.044,0.798,0.648,0.246,0.335
14,Ireland,Western Europe,2021,7.085,1.644,1.092,0.753,0.606,0.238,0.367
15,Costa Rica,Latin America and Caribbean,2021,7.069,1.134,0.966,0.722,0.673,0.105,0.083
16,United Kingdom,Western Europe,2021,7.064,1.423,1.062,0.757,0.58,0.34,0.306
17,Czech Republic,Central and Eastern Europe,2021,6.965,1.37,1.09,0.703,0.58,0.052,0.046
18,United States,North America and ANZ,2021,6.951,1.533,1.03,0.621,0.554,0.252,0.154
19,Belgium,Western Europe,2021,6.834,1.463,0.998,0.747,0.489,0.088,0.187
20,France,Western Europe,2021,6.69,1.421,1.081,0.804,0.536,0.092,0.235
21,Bahrain,Middle East and North Africa,2021,6.647,1.409,0.899,0.662,0.661,0.246,0.139
22,Malta,Western Europe,2021,6.602,1.411,1.055,0.747,0.664,0.275,0.183
23,Taiwan Province of China,East Asia,2021,6.584,1.48,0.982,0.665,0.49,0.142,0.139
24,United Arab Emirates,Middle East and North Africa,2021,6.561,1.555,0.86,0.594,0.67,0.236,0.223
25,Saudi Arabia,Middle East and North Africa,2021,6.494,1.435,0.964,0.571,0.603,0.09,0.163
26,Spain,Western Europe,2021,6.491,1.375,1.057,0.826,0.462,0.135,0.124
27,Italy,Western Europe,2021,6.483,1.393,0.94,0.798,0.379,0.133,0.047
28,Slovenia,Central and Eastern Europe,2021,6.461,1.36,1.093,0.722,0.69,0.122,0.085
29,Guatemala,Latin America and Caribbean,2021,6.435,0.845,0.79,0.519,0.638,0.163,0.105
30,Uruguay,Latin America and Caribbean,2021,6.431,1.164,1.042,0.649,0.625,0.128,0.223
31,Singapore,Southeast Asia,2021,6.377,1.695,1.019,0.897,0.664,0.176,0.547
32,Kosovo,Central and Eastern Europe,2021,6.372,0.937,0.807,0.483,0.593,0.356,0.014
33,Slovakia,Central and Eastern Europe,2021,6.331,1.304,1.066,0.653,0.468,0.107,0.018
34,Brazil,Latin America and Caribbean,2021,6.33,1.028,0.944,0.571,0.514,0.142,0.117
35,Mexico,Latin America and Caribbean,2021,6.317,1.126,0.83,0.634,0.585,0.092,0.089
36,Jamaica,Latin America and Caribbean,2021,6.309,0.891,0.932,0.599,0.618,0.099,0.035
37,Lithuania,Central and Eastern Europe,2021,6.255,1.35,1.065,0.612,0.476,0.056,0.073
38,Cyprus,Western Europe,2021,6.223,1.377,0.765,0.801,0.464,0.178,0.061
39,Estonia,Central and Eastern Europe,2021,6.189,1.344,1.079,0.64,0.641,0.119,0.263
40,Panama,Latin America and Caribbean,2021,6.18,1.298,0.976,0.667,0.596,0.079,0.053
41,Uzbekistan,Commonwealth of Independent States,2021,6.179,0.769,1.027,0.528,0.716,0.391,0.271
42,Chile,Latin America and Caribbean,2021,6.172,1.2,0.946,0.678,0.438,0.159,0.07
43,Poland,Central and Eastern Europe,2021,6.166,1.309,0.982,0.668,0.558,0.08,0.13
44,Kazakhstan,Commonwealth of Independent States,2021,6.152,1.23,1.103,0.527,0.573,0.143,0.132
45,Romania,Central and Eastern Europe,2021,6.14,1.275,0.832,0.595,0.564,0.045,0.001
46,Kuwait,Middle East and North Africa,2021,6.106,1.461,0.857,0.58,0.591,0.12,0.13
47,Serbia,Central and Eastern Europe,2021,6.078,1.101,0.924,0.634,0.482,0.189,0.066
48,El Salvador,Latin America and Caribbean,2021,6.061,0.845,0.675,0.565,0.615,0.116,0.16
49,Mauritius,Sub-Saharan Africa,2021,6.049,1.178,0.996,0.574,0.59,0.153,0.096
50,Latvia,Central and Eastern Europe,2021,6.032,1.285,1.047,0.587,0.405,0.082,0.089
51,Colombia,Latin America and Caribbean,2021,6.012,1.021,0.866,0.615,0.554,0.1,0.063
52,Hungary,Central and Eastern Europe,2021,5.992,1.301,1.083,0.615,0.454,0.067,0.04
